Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
165.00,16.4,16.30,16.43,16.55,195,3578,0.3264,-0.44,0.0094,-0.03,0.51,Put,2025-12-19,161.3
170.00,18.9,18.90,19.05,19.20,3,7117,0.3234,-0.49,0.0096,-0.02,0.51,Put,2025-12-19,161.3
175.00,22.0,21.75,21.93,22.10,36,5595,0.3212,-0.54,0.0096,-0.02,0.51,Put,2025-12-19,161.3
180.00,24.9,22.80,24.35,25.90,13,4468,0.30579999999999996,-0.59,0.0099,-0.02,0.50,Put,2025-12-19,161.3
185.00,,28.25,28.48,28.70,0,2105,0.3206,-0.62,0.0092,-0.02,0.49,Put,2025-12-19,161.3
190.00,31.71,31.35,31.85,32.35,2,2349,0.31670000000000004,-0.66,0.0089,-0.02,0.47,Put,2025-12-19,161.3
195.00,,35.80,36.13,36.45,0,527,0.3287,-0.69,0.0083,-0.02,0.46,Put,2025-12-19,161.3
200.00,40.67,39.35,40.10,40.85,4,665,0.3317,-0.72,0.0079,-0.01,0.43,Put,2025-12-19,161.3
205.00,,43.10,44.08,45.05,0,187,0.3319,-0.75,0.0074,-0.01,0.41,Put,2025-12-19,161.3
210.00,48.6,47.70,48.60,49.50,2,140,0.3433,-0.77,0.0069,-0.01,0.39,Put,2025-12-19,161.3
215.00,,53.70,54.60,55.50,0,34,0.3909,-0.75,0.0063,-0.01,0.41,Put,2025-12-19,161.3
220.00,,58.35,59.55,60.75,0,1,0.41159999999999997,-0.76,0.0059,-0.02,0.40,Put,2025-12-19,161.3
225.00,,63.45,63.80,64.15,0,0,0.41359999999999997,-0.78,0.0056,-0.01,0.38,Put,2025-12-19,161.3
230.00,,67.35,68.28,69.20,0,0,0.42,-0.79,0.0053,-0.01,0.37,Put,2025-12-19,161.3
235.00,,72.35,73.55,74.75,0,0,0.4472,-0.79,0.0050,-0.01,0.37,Put,2025-12-19,161.3
240.00,,77.40,79.03,80.65,0,0,0.4792,-0.78,0.0048,-0.02,0.38,Put,2025-12-19,161.3
245.00,,82.40,83.93,85.45,0,0,0.4955,-0.79,0.0045,-0.02,0.38,Put,2025-12-19,161.3
250.00,,87.50,88.93,90.35,0,0,0.514,-0.79,0.0044,-0.02,0.37,Put,2025-12-19,161.3
255.00,,92.25,93.95,95.65,0,0,0.5326,-0.79,0.0042,-0.02,0.37,Put,2025-12-19,161.3
260.00,,97.45,98.98,100.50,0,0,0.551,-0.79,0.0040,-0.02,0.37,Put,2025-12-19,161.3
265.00,,102.60,103.57,104.55,0,0,0.5572,-0.80,0.0039,-0.02,0.36,Put,2025-12-19,161.3
270.00,,107.60,108.45,109.30,0,0,0.5706,-0.80,0.0038,-0.02,0.36,Put,2025-12-19,161.3
280.00,,117.55,118.65,119.75,0,0,0.6089,-0.80,0.0036,-0.02,0.36,Put,2025-12-19,161.3
290.00,,127.15,128.93,130.70,0,0,0.648,-0.80,0.0034,-0.02,0.37,Put,2025-12-19,161.3
300.00,,137.15,138.80,140.45,0,0,0.675,-0.80,0.0032,-0.02,0.36,Put,2025-12-19,161.3
310.00,,147.75,149.08,150.40,0,0,0.7119,-0.79,0.0031,-0.03,0.37,Put,2025-12-19,161.3
320.00,,157.95,159.02,160.10,0,0,0.7390000000000001,-0.80,0.0030,-0.03,0.37,Put,2025-12-19,161.3
330.00,,167.85,169.25,170.65,0,0,0.7726999999999999,-0.79,0.0029,-0.03,0.37,Put,2025-12-19,161.3
340.00,,177.40,178.58,179.75,0,0,0.7811,-0.80,0.0028,-0.03,0.36,Put,2025-12-19,161.3
350.00,,187.85,188.80,189.75,0,0,0.8133,-0.80,0.0027,-0.03,0.36,Put,2025-12-19,161.3
360.00,,197.55,198.63,199.70,0,0,0.8339,-0.80,0.0026,-0.03,0.36,Put,2025-12-19,161.3
370.00,,207.75,208.88,210.00,0,0,0.8654000000000001,-0.79,0.0026,-0.03,0.37,Put,2025-12-19,161.3
380.00,,217.20,218.55,219.90,0,0,0.8806,-0.80,0.0025,-0.03,0.36,Put,2025-12-19,161.3
45.00,,116.15,117.43,118.70,0,436,0.0,1.00,0.0000,0.00,0.00,Call,2026-01-16,161.3
50.00,,111.55,112.65,113.75,0,46,0.4767,1.00,0.0000,-0.01,0.00,Call,2026-01-16,161.3
55.00,,106.95,107.70,108.45,0,31,0.0,1.00,0.0000,-0.01,0.00,Call,2026-01-16,161.3
60.00,,101.60,102.65,103.70,0,64,0.0,1.00,0.0000,-0.01,0.00,Call,2026-01-16,161.3
65.00,98.11,97.20,98.20,99.20,13,29,0.47700000000000004,0.99,0.0002,-0.01,0.02,Call,2026-01-16,161.3
70.00,,92.05,93.15,94.25,0,73,0.0,1.00,0.0000,-0.01,0.00,Call,2026-01-16,161.3
75.00,,87.60,88.68,89.75,0,138,0.46270000000000006,0.99,0.0005,-0.01,0.05,Call,2026-01-16,161.3
80.00,,83.60,84.35,85.10,0,111,0.5075999999999999,0.97,0.0009,-0.02,0.09,Call,2026-01-16,161.3
85.00,79.45,78.85,79.73,80.60,26,90,0.4939,0.97,0.0011,-0.02,0.11,Call,2026-01-16,161.3
90.00,,74.20,74.95,75.70,0,146,0.4644,0.96,0.0013,-0.02,0.12,Call,2026-01-16,161.3
95.00,,68.85,70.00,71.15,0,435,0.4216,0.96,0.0015,-0.02,0.12,Call,2026-01-16,161.3
100.00,65.3,65.15,65.45,65.75,3,910,0.4113,0.95,0.0019,-0.02,0.14,Call,2026-01-16,161.3
105.00,60.2,60.05,61.10,62.15,2,213,0.40909999999999996,0.93,0.0023,-0.02,0.18,Call,2026-01-16,161.3
110.00,57.0,56.30,56.60,56.90,22,396,0.39390000000000003,0.92,0.0028,-0.03,0.20,Call,2026-01-16,161.3
115.00,,51.55,52.00,52.45,0,518,0.37200000000000005,0.91,0.0033,-0.03,0.23,Call,2026-01-16,161.3
120.00,47.85,47.55,48.25,48.95,4,1633,0.38189999999999996,0.88,0.0039,-0.03,0.28,Call,2026-01-16,161.3
125.00,43.8,43.35,43.73,44.10,17,513,0.35840000000000005,0.86,0.0045,-0.03,0.30,Call,2026-01-16,161.3
130.00,39.5,39.20,40.05,40.90,10,519,0.35950000000000004,0.83,0.0051,-0.03,0.34,Call,2026-01-16,161.3
135.00,35.8,35.70,36.35,37.00,8,3371,0.3544,0.80,0.0058,-0.04,0.38,Call,2026-01-16,161.3
140.00,33.01,32.35,32.88,33.40,10,4345,0.3508,0.76,0.0064,-0.04,0.42,Call,2026-01-16,161.3
145.00,29.35,28.85,29.55,30.25,24,6513,0.34630000000000005,0.73,0.0070,-0.04,0.45,Call,2026-01-16,161.3
